RouteID,Route,Date,Route Type,Alpine,Rating,Safety,Avg Stars,Pitches,Lead Style,Attempts
105751315,Grand Giraffe,2024-11-17,Trad,0,5.10a,G,3.4,3,Onsight/Flash,1
105751492,Wind Machine,2021-01-24,Sport,0,5.11c/d,G,2.0,1,Fell/Hung,1
105751495,Highlander,2021-01-24,Sport,0,5.10d,G,1.7,1,Onsight/Flash,1
105751579,Radometer in the Red Zone,2022-10-22,Sport,0,5.11c,G,2.6,1,Fell/Hung,1
105751597,Diamondback,2017-08-01,Sport,0,5.10b,G,2.6,1,Onsight/Flash,1
105751630,Flight 67 to Stockholm,2020-12-20,Sport,0,5.11a/b,G,2.9,1,Redpoint,2
105751756,Eiger Direct,2018-03-24,Sport,0,5.11d,G,3.3,1,Redpoint,3
105751759,Independence Day,2021-11-07,Sport,0,5.10a,G,0.8,1,Onsight/Flash,1
105751762,Rock the Vote,2021-11-07,Sport,0,5.9+,G,1.1,1,Onsight/Flash,1
105751765,Campaign Trail,2021-11-07,Sport,0,5.10d,G,1.9,1,Onsight/Flash,1
105751771,Party Line,2021-11-07,Sport,0,5.10d,G,1.5,1,Onsight/Flash,1
105751774,Fat Democrat,2021-11-07,Sport,0,5.11,G,1.4,1,Onsight/Flash,1
105751777,Right To Be Wrong,2021-11-07,Sport,0,5.11a,G,1.9,1,Onsight/Flash,1
105752059,Hanging Judge,2018-06-26,Sport,0,5.11b,G,3.3,1,Onsight/Flash,1
105752167,The Ground Doesn't Lie,2020-12-20,Sport,0,5.10c/d,G,2.3,1,Onsight/Flash,1
105752287,Take the Termites Bowling,2021-05-20,Sport,0,5.11b/c,G,2.1,1,Onsight/Flash,1
105752290,Shiny Dog,2021-05-20,Sport,0,5.12,G,2.5,1,Fell/Hung,1
105752323,Undertow,2023-07-11,Sport,0,5.12b,G,3.7,1,Redpoint,4
105752329,Lats Don't Have Feelings,2022-03-12,Sport,0,5.11d,G,3.6,1,Redpoint,2
105752335,Tits Up,2024-12-01,Sport,0,5.12b,G,3.8,1,Fell/Hung,1
105752362,Thunder Tactics,2020-12-26,Sport,0,5.11c,G,3.6,1,Onsight/Flash,1
105752389,Gravitations,2022-03-13,Sport,0,5.11d,G,3.8,1,Redpoint,2
105752464,Phase Dance,2023-04-23,Sport,0,5.12-,G,3.4,1,Fell/Hung,1
105752560,Hand Crack (aka White Lightning),2020-03-07,Trad,0,5.10a,G,3.4,1,Onsight/Flash,1
105752563,Bad Girls Get Spanked,2021-04-10,Sport,0,5.11b,G,2.6,1,Redpoint,2
105752587,Lime Street,2019-01-05,Sport,0,5.11b,G,3.6,1,Onsight/Flash,1
105752596,Conehead,2020-11-01,Sport,0,5.11b,G,2.4,1,Fell/Hung,2
105752599,Eiger Sanction,2020-08-27,Sport,0,5.10d,G,2.4,1,Onsight/Flash,1
